Seriation_Number	Assemblage	Parkin_Punctated	Barton/Kent/MPI	Painted	Fortune_Noded	Ranch_Incised	Walls_Engraved	Wallace_Incised	Rhodes_Incised	Vernon_Paul_Applique	Hull_Engraved
53	12-N-3	549	328	77	19	4	0	3	1	2	0
53	11-N-9	528	198	13	0	19	0	0	0	0	0

54	13-O-11	35	65	24	0	0	2	0	1	0	1
54	12-N-3	549	328	77	19	4	0	3	1	2	0
54	11-O-10	404	208	6	16	4	0	0	0	0	0

55	13-O-11	35	65	24	0	0	2	0	1	0	1
55	13-O-5	923	637	42	12	33	27	14	13	5	2
55	11-N-9	528	198	13	0	19	0	0	0	0	0

56	13-O-11	35	65	24	0	0	2	0	1	0	1
56	13-O-5	923	637	42	12	33	27	14	13	5	2
56	11-O-10	404	208	6	16	4	0	0	0	0	0

57	13-O-11	35	65	24	0	0	2	0	1	0	1
57	12-O-5	204	156	42	7	8	4	2	1	0	0
57	11-N-9	528	198	13	0	19	0	0	0	0	0

58	13-O-11	35	65	24	0	0	2	0	1	0	1
58	12-O-5	204	156	42	7	8	4	2	1	0	0
58	11-O-10	404	208	6	16	4	0	0	0	0	0

59	13-O-11	35	65	24	0	0	2	0	1	0	1
59	12-O-5	204	156	42	7	8	4	2	1	0	0
59	12-N-3	549	328	77	19	4	0	3	1	2	0

60	13-O-11	35	65	24	0	0	2	0	1	0	1
60	12-O-5	204	156	42	7	8	4	2	1	0	0
60	11-N-1	865	323	59	17	35	0	0	0	4	0

61	13-O-11	35	65	24	0	0	2	0	1	0	1
61	11-N-4	764	470	18	5	9	0	0	0	0	0
61	11-O-10	404	208	6	16	4	0	0	0	0	0

62	13-O-11	35	65	24	0	0	2	0	1	0	1
62	13-N-4	71	67	96	0	3	4	0	0	0	0
62	11-N-9	528	198	13	0	19	0	0	0	0	0

63	13-O-11	35	65	24	0	0	2	0	1	0	1
63	13-N-4	71	67	96	0	3	4	0	0	0	0
63	11-N-1	865	323	59	17	35	0	0	0	4	0

64	13-O-11	35	65	24	0	0	2	0	1	0	1
64	13-N-4	71	67	96	0	3	4	0	0	0	0
64	13-N-5	35	11	33	0	0	0	0	0	0	0

65	13-O-11	35	65	24	0	0	2	0	1	0	1
65	13-O-7	590	498	67	10	21	19	12	8	7	1
65	11-N-9	528	198	13	0	19	0	0	0	0	0

66	13-O-11	35	65	24	0	0	2	0	1	0	1
66	13-O-7	590	498	67	10	21	19	12	8	7	1
66	11-O-10	404	208	6	16	4	0	0	0	0	0

67	13-O-11	35	65	24	0	0	2	0	1	0	1
67	13-O-7	590	498	67	10	21	19	12	8	7	1
67	11-N-1	865	323	59	17	35	0	0	0	4	0

68	13-O-11	35	65	24	0	0	2	0	1	0	1
68	13-O-7	590	498	67	10	21	19	12	8	7	1
68	11-N-4	764	470	18	5	9	0	0	0	0	0

69	13-O-11	35	65	24	0	0	2	0	1	0	1
69	13-P-10	30	15	12	0	12	12	0	7	2	1
69	13-P-1	244	40	18	1	16	21	0	14	0	6

70	13-N-16	42	56	69	0	1	3	0	0	0	0
70	13-O-10	60	74	79	0	2	8	0	2	0	0
70	11-N-9	528	198	13	0	19	0	0	0	0	0

71	13-N-16	42	56	69	0	1	3	0	0	0	0
71	13-O-5	923	637	42	12	33	27	14	13	5	2
71	11-N-9	528	198	13	0	19	0	0	0	0	0

